"","ind","nest","chick","sex","year","age","weight","hatch_day"
"371","119r15",119,"red","m",2015,24,584,2015-07-17
"372","53r15",53,"red","u",2015,3,39,2015-07-17
"373","53r15",53,"red","u",2015,10,154,2015-07-17
"374","53r15",53,"red","u",2015,14,303,2015-07-17
"375","35r15",35,"red","u",2015,5,71,2015-07-18
"376","59g15",59,"green","f",2015,4,61,2015-07-19
"377","59g15",59,"green","f",2015,10,229,2015-07-19
"378","59g15",59,"green","f",2015,15,394,2015-07-19
"379","59g15",59,"green","f",2015,21,677,2015-07-19
"380","59g15",59,"green","f",2015,25,762,2015-07-19
"381","59g15",59,"green","f",2015,29,829,2015-07-19
"382","4g15",4,"green","m",2015,1,30,2015-07-12
"383","4g15",4,"green","m",2015,7,95,2015-07-12
"384","4g15",4,"green","m",2015,10,218,2015-07-12
"385","4g15",4,"green","m",2015,15,369,2015-07-12
"386","4g15",4,"green","m",2015,19,494,2015-07-12
"387","4g15",4,"green","m",2015,25,530,2015-07-12
"388","4g15",4,"green","m",2015,29,518,2015-07-12
"389","8g15",8,"green","m",2015,3,44,2015-07-14
"390","8g15",8,"green","m",2015,8,126,2015-07-14
"391","8g15",8,"green","m",2015,14,333,2015-07-14
"392","8g15",8,"green","m",2015,21,527,2015-07-14
"393","8g15",8,"green","m",2015,24,619,2015-07-14
"394","8g15",8,"green","m",2015,29,630,2015-07-14
"395","72g15",72,"green","m",2015,5,79,2015-07-15
"396","72g15",72,"green","m",2015,12,308,2015-07-15
"397","72g15",72,"green","m",2015,16,426,2015-07-15
"398","72g15",72,"green","m",2015,20,553,2015-07-15
"399","72g15",72,"green","m",2015,27,621,2015-07-15
"400","72g15",72,"green","m",2015,31,645,2015-07-15
"401","89g15",89,"green","m",2015,3,51,2015-07-17
"402","89g15",89,"green","m",2015,7,131,2015-07-17
"403","89g15",89,"green","m",2015,13,316,2015-07-17
"404","89g15",89,"green","m",2015,20,521,2015-07-17
"405","89g15",89,"green","m",2015,23,537,2015-07-17
"406","89g15",89,"green","m",2015,28,576,2015-07-17
"407","119g15",119,"green","m",2015,4,54,2015-07-18
"408","119g15",119,"green","m",2015,9,164,2015-07-18
"409","119g15",119,"green","m",2015,13,355,2015-07-18
"410","119g15",119,"green","m",2015,18,496,2015-07-18
"411","119g15",119,"green","m",2015,23,599,2015-07-18
"412","119g15",119,"green","m",2015,30,848,2015-07-18
"413","53g15",53,"green","u",2015,2,34,2015-07-18
"414","53g15",53,"green","u",2015,9,148,2015-07-18
"415","53g15",53,"green","u",2015,13,325,2015-07-18
"416","1g15",1,"green","u",2015,6,74,2015-07-16
"417","1g15",1,"green","u",2015,11,195,2015-07-16
"418","75g15",75,"green","u",2015,3,36,2015-07-15
"419","75g15",75,"green","u",2015,8,111,2015-07-15
"420","75g15",75,"green","u",2015,14,237,2015-07-15
"421","39g15",39,"green","f",2015,3,37,2015-07-14
"422","39g15",39,"green","f",2015,8,108,2015-07-14
"423","39g15",39,"green","f",2015,14,317,2015-07-14
"424","39g15",39,"green","f",2015,21,623,2015-07-14
"425","39g15",39,"green","f",2015,24,733,2015-07-14
"426","39g15",39,"green","f",2015,30,825,2015-07-14
